title,genres,artist,followers,explicit,release_date,energy,danceability,loudness,liveness,valence,duration_seconds,acousticness,speechiness,popularity
vampire,pop,Olivia Rodrigo,26004736,True,2023,53,51,-6,31,32,219.72,17,6,88
Ella Baila Sola,corrido,Eslabon Armado,4289559,False,2023,76,67,-5,8,83,165.67,48,3,94
Cruel Summer,pop,Taylor Swift,78298356,False,2019,70,55,-6,10,56,178.43,12,16,97
WHERE SHE GOES,reggaeton,Bad Bunny,71016485,True,2023,80,65,-4,11,23,231.7,14,6,99
La Bebe - Remix,reggaeton,Yng Lvcas,127028,True,2023,48,81,-6,8,56,234.35,21,33,100
un x100to,musica chihuahuense,Grupo Frontera,1181947,False,2023,72,57,-4,27,56,194.56,23,5,99
Flowers,pop,Miley Cyrus,21274899,False,2023,68,71,-4,3,65,200.46,6,7,91
Daylight,gen z singer-songwriter,David Kushner,1042287,False,2023,43,51,-9,9,32,212.95,83,3,98
Cupid - Twin Ver.,k-pop girl group,FIFTY FIFTY,961895,False,2023,59,78,-8,35,73,174.25,44,3,99
As It Was,pop,Harry Styles,28162511,False,2022,73,52,-5,31,66,167.3,34,6,94
LADY GAGA,corrido,Peso Pluma,4948578,True,2023,74,65,-7,42,87,212.88,22,4,76
Kill Bill,pop,SZA,13371430,False,2022,74,64,-6,16,42,153.95,5,4,94
MOJABI GHOST,pop reggaeton,Tainy,1480814,True,2023,71,80,-4,56,74,228.2,14,4,84
Sprinter,uk hip hop,Dave,3215507,True,2023,58,92,-8,8,66,226.38,19,24,95
SABOR FRESA,corrido,Fuerza Regida,3719337,True,2023,86,78,-5,9,96,156.5,9,9,89
"Peso Pluma: Bzrp Music Sessions, Vol. 55",argentine hip hop,Bizarrap,11372874,True,2023,67,85,-8,12,80,187.66,26,5,98
Classy 101,colombian pop,Feid,6048954,True,2023,66,86,-5,12,67,195.99,14,16,97
TQM,corrido,Fuerza Regida,3719337,True,2023,85,79,-5,11,96,157.25,27,6,95
El Azul,corrido,Junior H,8450275,False,2023,65,56,-7,10,84,187.23,23,6,95
I Wanna Be Yours,garage rock,Arctic Monkeys,20498283,False,2013,42,46,-9,10,48,183.96,14,3,95
Like Crazy,k-pop,Jimin,5877967,False,2023,73,63,-5,36,36,212.24,0,4,95
Calm Down (with Selena Gomez),afrobeats,Rema,2668316,False,2023,80,80,-5,17,81,239.32,43,4,83
TULUM,corrido,Peso Pluma,4948578,True,2023,87,56,-4,11,63,209.41,39,5,77
LALA,reggaeton,Myke Towers,11574077,True,2023,74,71,-4,10,61,197.92,7,4,84
Sunflower - Spider-Man: Into the Spider-Verse,dfw rap,Post Malone,41100213,False,2019,52,76,-4,7,92,157.56,53,6,88
TQG,reggaeton,KAROL G,36648645,True,2023,63,72,-4,9,61,199.44,67,28,95
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",argentine hip hop,Bizarrap,11372874,True,2023,65,78,-4,26,59,204.05,10,5,91
Last Night,contemporary country,Morgan Wallen,6333376,True,2023,68,49,-5,14,48,163.85,47,4,90
Angels Like You,pop,Miley Cyrus,21274899,False,2020,64,67,-4,10,49,196.45,10,3,95
fukumean,atl hip hop,Gunna,5444099,True,2023,62,85,-7,28,22,125.04,12,9,89
Creepin' (with The Weeknd & 21 Savage),hip hop,Metro Boomin,4922917,True,2022,62,72,-6,8,17,221.52,42,5,96
See You Again (feat. Kali Uchis),hip hop,"Tyler, The Creator",11930514,True,2017,56,56,-9,11,62,180.39,37,10,96
Anti-Hero,pop,Taylor Swift,78298356,False,2022,64,64,-7,14,53,200.69,13,5,95
Los del Espacio,argentine hip hop,LIT killah,4754297,False,2023,68,81,-4,11,63,338.0,11,4,94
Blank Space,pop,Taylor Swift,78298356,False,2014,68,75,-5,13,58,231.83,8,6,84
Frágil,sad sierreno,Yahritza Y Su Esencia,624668,False,2023,73,60,-5,11,39,160.52,36,3,94
Die For You,canadian contemporary r&b,The Weeknd,67214312,False,2016,52,59,-7,13,51,260.25,11,6,92
Die For You (with Ariana Grande) - Remix,canadian contemporary r&b,The Weeknd,67214312,False,2023,50,57,-8,34,51,232.86,23,7,88
LUNA,corrido,Peso Pluma,4948578,True,2023,63,75,-9,15,79,163.55,33,4,73
Style,pop,Taylor Swift,78298356,False,2014,79,60,-6,12,46,231.0,0,4,83
I'm Good (Blue),big room,David Guetta,26228622,True,2022,96,56,-4,37,30,175.24,0,3,95
I Ain't Worried,piano rock,OneRepublic,15809933,False,2022,80,70,-6,5,82,148.49,8,5,95
Tá OK,funk carioca,DENNIS,2122907,False,2023,96,86,-1,9,59,92.09,50,5,92
Starboy,canadian contemporary r&b,The Weeknd,67214312,True,2016,59,68,-7,14,49,230.45,14,28,94
Flooded The Face,melodic rap,Lil Uzi Vert,15375412,True,2023,61,64,-8,15,39,192.73,49,30,82
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,canadian contemporary r&b,The Weeknd,67214312,True,2023,68,86,-6,41,85,215.47,6,19,79
Another Love,chill pop,Tom Odell,3246826,True,2013,54,44,-9,9,13,244.36,70,4,93
La Bachata,colombian pop,Manuel Turizo,12401628,False,2023,68,84,-5,22,85,162.64,58,4,88
Baby Don't Hurt Me,big room,David Guetta,26228622,False,2023,91,60,-3,12,23,140.02,0,3,94
Barbie World (with Aqua) [From Barbie The Album],hip pop,Nicki Minaj,28603038,True,2023,58,77,-8,23,75,109.75,52,25,87
vampire,pop,Olivia Rodrigo,26004736,True,2023,53,51,-6,31,32,219.72,17,6,88
Ella Baila Sola,corrido,Eslabon Armado,4289559,False,2023,76,67,-5,8,83,165.67,48,3,94
Cruel Summer,pop,Taylor Swift,78298356,False,2019,70,55,-6,10,56,178.43,12,16,97
WHERE SHE GOES,reggaeton,Bad Bunny,71016485,True,2023,80,65,-4,11,23,231.7,14,6,99
La Bebe - Remix,reggaeton,Yng Lvcas,127028,True,2023,48,81,-6,8,56,234.35,21,33,100
un x100to,musica chihuahuense,Grupo Frontera,1181947,False,2023,72,57,-4,27,56,194.56,23,5,99
Flowers,pop,Miley Cyrus,21274899,False,2023,68,71,-4,3,65,200.46,6,7,91
Daylight,gen z singer-songwriter,David Kushner,1042287,False,2023,43,51,-9,9,32,212.95,83,3,98
Cupid - Twin Ver.,k-pop girl group,FIFTY FIFTY,961895,False,2023,59,78,-8,35,73,174.25,44,3,99
As It Was,pop,Harry Styles,28162511,False,2022,73,52,-5,31,66,167.3,34,6,94
LADY GAGA,corrido,Peso Pluma,4948578,True,2023,74,65,-7,42,87,212.88,22,4,76
Kill Bill,pop,SZA,13371430,False,2022,74,64,-6,16,42,153.95,5,4,94
MOJABI GHOST,pop reggaeton,Tainy,1480814,True,2023,71,80,-4,56,74,228.2,14,4,84
Sprinter,uk hip hop,Dave,3215507,True,2023,58,92,-8,8,66,226.38,19,24,95
SABOR FRESA,corrido,Fuerza Regida,3719337,True,2023,86,78,-5,9,96,156.5,9,9,89
"Peso Pluma: Bzrp Music Sessions, Vol. 55",argentine hip hop,Bizarrap,11372874,True,2023,67,85,-8,12,80,187.66,26,5,98
Classy 101,colombian pop,Feid,6048954,True,2023,66,86,-5,12,67,195.99,14,16,97
TQM,corrido,Fuerza Regida,3719337,True,2023,85,79,-5,11,96,157.25,27,6,95
El Azul,corrido,Junior H,8450275,False,2023,65,56,-7,10,84,187.23,23,6,95
I Wanna Be Yours,garage rock,Arctic Monkeys,20498283,False,2013,42,46,-9,10,48,183.96,14,3,95
Like Crazy,k-pop,Jimin,5877967,False,2023,73,63,-5,36,36,212.24,0,4,95
Calm Down (with Selena Gomez),afrobeats,Rema,2668316,False,2023,80,80,-5,17,81,239.32,43,4,83
TULUM,corrido,Peso Pluma,4948578,True,2023,87,56,-4,11,63,209.41,39,5,77
LALA,reggaeton,Myke Towers,11574077,True,2023,74,71,-4,10,61,197.92,7,4,84
Sunflower - Spider-Man: Into the Spider-Verse,dfw rap,Post Malone,41100213,False,2019,52,76,-4,7,92,157.56,53,6,88
TQG,reggaeton,KAROL G,36648645,True,2023,63,72,-4,9,61,199.44,67,28,95
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",argentine hip hop,Bizarrap,11372874,True,2023,65,78,-4,26,59,204.05,10,5,91
Last Night,contemporary country,Morgan Wallen,6333376,True,2023,68,49,-5,14,48,163.85,47,4,90
Angels Like You,pop,Miley Cyrus,21274899,False,2020,64,67,-4,10,49,196.45,10,3,95
fukumean,atl hip hop,Gunna,5444099,True,2023,62,85,-7,28,22,125.04,12,9,89
Creepin' (with The Weeknd & 21 Savage),hip hop,Metro Boomin,4922917,True,2022,62,72,-6,8,17,221.52,42,5,96
See You Again (feat. Kali Uchis),hip hop,"Tyler, The Creator",11930514,True,2017,56,56,-9,11,62,180.39,37,10,96
Anti-Hero,pop,Taylor Swift,78298356,False,2022,64,64,-7,14,53,200.69,13,5,95
Los del Espacio,argentine hip hop,LIT killah,4754297,False,2023,68,81,-4,11,63,338.0,11,4,94
Blank Space,pop,Taylor Swift,78298356,False,2014,68,75,-5,13,58,231.83,8,6,84
Frágil,sad sierreno,Yahritza Y Su Esencia,624668,False,2023,73,60,-5,11,39,160.52,36,3,94
Die For You,canadian contemporary r&b,The Weeknd,67214312,False,2016,52,59,-7,13,51,260.25,11,6,92
Die For You (with Ariana Grande) - Remix,canadian contemporary r&b,The Weeknd,67214312,False,2023,50,57,-8,34,51,232.86,23,7,88
LUNA,corrido,Peso Pluma,4948578,True,2023,63,75,-9,15,79,163.55,33,4,73
Style,pop,Taylor Swift,78298356,False,2014,79,60,-6,12,46,231.0,0,4,83
I'm Good (Blue),big room,David Guetta,26228622,True,2022,96,56,-4,37,30,175.24,0,3,95
I Ain't Worried,piano rock,OneRepublic,15809933,False,2022,80,70,-6,5,82,148.49,8,5,95
Tá OK,funk carioca,DENNIS,2122907,False,2023,96,86,-1,9,59,92.09,50,5,92
Starboy,canadian contemporary r&b,The Weeknd,67214312,True,2016,59,68,-7,14,49,230.45,14,28,94
Flooded The Face,melodic rap,Lil Uzi Vert,15375412,True,2023,61,64,-8,15,39,192.73,49,30,82
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,canadian contemporary r&b,The Weeknd,67214312,True,2023,68,86,-6,41,85,215.47,6,19,79
Another Love,chill pop,Tom Odell,3246826,True,2013,54,44,-9,9,13,244.36,70,4,93
La Bachata,colombian pop,Manuel Turizo,12401628,False,2023,68,84,-5,22,85,162.64,58,4,88
Baby Don't Hurt Me,big room,David Guetta,26228622,False,2023,91,60,-3,12,23,140.02,0,3,94
Barbie World (with Aqua) [From Barbie The Album],hip pop,Nicki Minaj,28603038,True,2023,58,77,-8,23,75,109.75,52,25,87
vampire,pop,Olivia Rodrigo,26004736,True,2023,53,51,-6,31,32,219.72,17,6,88
Ella Baila Sola,corrido,Eslabon Armado,4289559,False,2023,76,67,-5,8,83,165.67,48,3,94
Cruel Summer,pop,Taylor Swift,78298356,False,2019,70,55,-6,10,56,178.43,12,16,97
WHERE SHE GOES,reggaeton,Bad Bunny,71016485,True,2023,80,65,-4,11,23,231.7,14,6,99
La Bebe - Remix,reggaeton,Yng Lvcas,127028,True,2023,48,81,-6,8,56,234.35,21,33,100
un x100to,musica chihuahuense,Grupo Frontera,1181947,False,2023,72,57,-4,27,56,194.56,23,5,99
Flowers,pop,Miley Cyrus,21274899,False,2023,68,71,-4,3,65,200.46,6,7,91
Daylight,gen z singer-songwriter,David Kushner,1042287,False,2023,43,51,-9,9,32,212.95,83,3,98
Cupid - Twin Ver.,k-pop girl group,FIFTY FIFTY,961895,False,2023,59,78,-8,35,73,174.25,44,3,99
As It Was,pop,Harry Styles,28162511,False,2022,73,52,-5,31,66,167.3,34,6,94
LADY GAGA,corrido,Peso Pluma,4948578,True,2023,74,65,-7,42,87,212.88,22,4,76
Kill Bill,pop,SZA,13371430,False,2022,74,64,-6,16,42,153.95,5,4,94
MOJABI GHOST,pop reggaeton,Tainy,1480814,True,2023,71,80,-4,56,74,228.2,14,4,84
Sprinter,uk hip hop,Dave,3215507,True,2023,58,92,-8,8,66,226.38,19,24,95
SABOR FRESA,corrido,Fuerza Regida,3719337,True,2023,86,78,-5,9,96,156.5,9,9,89
"Peso Pluma: Bzrp Music Sessions, Vol. 55",argentine hip hop,Bizarrap,11372874,True,2023,67,85,-8,12,80,187.66,26,5,98
Classy 101,colombian pop,Feid,6048954,True,2023,66,86,-5,12,67,195.99,14,16,97
TQM,corrido,Fuerza Regida,3719337,True,2023,85,79,-5,11,96,157.25,27,6,95
El Azul,corrido,Junior H,8450275,False,2023,65,56,-7,10,84,187.23,23,6,95
I Wanna Be Yours,garage rock,Arctic Monkeys,20498283,False,2013,42,46,-9,10,48,183.96,14,3,95
Like Crazy,k-pop,Jimin,5877967,False,2023,73,63,-5,36,36,212.24,0,4,95
Calm Down (with Selena Gomez),afrobeats,Rema,2668316,False,2023,80,80,-5,17,81,239.32,43,4,83
TULUM,corrido,Peso Pluma,4948578,True,2023,87,56,-4,11,63,209.41,39,5,77
LALA,reggaeton,Myke Towers,11574077,True,2023,74,71,-4,10,61,197.92,7,4,84
Sunflower - Spider-Man: Into the Spider-Verse,dfw rap,Post Malone,41100213,False,2019,52,76,-4,7,92,157.56,53,6,88
TQG,reggaeton,KAROL G,36648645,True,2023,63,72,-4,9,61,199.44,67,28,95
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",argentine hip hop,Bizarrap,11372874,True,2023,65,78,-4,26,59,204.05,10,5,91
Last Night,contemporary country,Morgan Wallen,6333376,True,2023,68,49,-5,14,48,163.85,47,4,90
Angels Like You,pop,Miley Cyrus,21274899,False,2020,64,67,-4,10,49,196.45,10,3,95
fukumean,atl hip hop,Gunna,5444099,True,2023,62,85,-7,28,22,125.04,12,9,89
Creepin' (with The Weeknd & 21 Savage),hip hop,Metro Boomin,4922917,True,2022,62,72,-6,8,17,221.52,42,5,96
See You Again (feat. Kali Uchis),hip hop,"Tyler, The Creator",11930514,True,2017,56,56,-9,11,62,180.39,37,10,96
Anti-Hero,pop,Taylor Swift,78298356,False,2022,64,64,-7,14,53,200.69,13,5,95
Los del Espacio,argentine hip hop,LIT killah,4754297,False,2023,68,81,-4,11,63,338.0,11,4,94
Blank Space,pop,Taylor Swift,78298356,False,2014,68,75,-5,13,58,231.83,8,6,84
Frágil,sad sierreno,Yahritza Y Su Esencia,624668,False,2023,73,60,-5,11,39,160.52,36,3,94
Die For You,canadian contemporary r&b,The Weeknd,67214312,False,2016,52,59,-7,13,51,260.25,11,6,92
Die For You (with Ariana Grande) - Remix,canadian contemporary r&b,The Weeknd,67214312,False,2023,50,57,-8,34,51,232.86,23,7,88
LUNA,corrido,Peso Pluma,4948578,True,2023,63,75,-9,15,79,163.55,33,4,73
Style,pop,Taylor Swift,78298356,False,2014,79,60,-6,12,46,231.0,0,4,83
I'm Good (Blue),big room,David Guetta,26228622,True,2022,96,56,-4,37,30,175.24,0,3,95
I Ain't Worried,piano rock,OneRepublic,15809933,False,2022,80,70,-6,5,82,148.49,8,5,95
Tá OK,funk carioca,DENNIS,2122907,False,2023,96,86,-1,9,59,92.09,50,5,92
Starboy,canadian contemporary r&b,The Weeknd,67214312,True,2016,59,68,-7,14,49,230.45,14,28,94
Flooded The Face,melodic rap,Lil Uzi Vert,15375412,True,2023,61,64,-8,15,39,192.73,49,30,82
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,canadian contemporary r&b,The Weeknd,67214312,True,2023,68,86,-6,41,85,215.47,6,19,79
Another Love,chill pop,Tom Odell,3246826,True,2013,54,44,-9,9,13,244.36,70,4,93
La Bachata,colombian pop,Manuel Turizo,12401628,False,2023,68,84,-5,22,85,162.64,58,4,88
Baby Don't Hurt Me,big room,David Guetta,26228622,False,2023,91,60,-3,12,23,140.02,0,3,94
Barbie World (with Aqua) [From Barbie The Album],hip pop,Nicki Minaj,28603038,True,2023,58,77,-8,23,75,109.75,52,25,87
